"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","Black_per_arrest","White_per_arrest","total_per_arrest","Total_arest_over_total_pop","Black_arest_over_Black_pop","White_arest_over_white_pop","SIR_arrests","SIR_B","SIR_W"
"61",10600,2016,109,166,275,37,129,4196,3890,189,0.927073403,0.045042898,39.6583060705198,60.37804434751,100,6.55370463049022,57.6414595452142,4.26724248733966,1.91685945033939,5.07050995281213,1.95100543474766
"62",10600,2017,116,188,307,37,129,4134,3785,237,0.915578133,0.057329463,37.8052751546727,61.2504070335396,100,7.426041943833,48.9245044285112,4.9668436765211,2.17198298708597,4.30730822598055,2.27079431499282
"63",10600,2018,110,146,256,37,129,4147,3580,229,0.863274656,0.055220641,42.9910191331511,57.048028114018,100,6.17298835330713,48.0139676996945,4.0780983771403,1.80549133757101,4.22665867467139,1.86434217711731
"64",10700,2010,57,108,165,37,129,4314,2354,1312,0.545665276,0.304126101,34.5850999394307,65.4754694124773,100,3.82466794928258,4.34418108375886,4.58774053778514,1.11867810946407,0.383495841206193,2.09596660807444
"65",10700,2011,56,59,115,37,129,4333,2374,1530,0.547888299,0.353104085,48.74022589053,51.3466550825369,100,2.65398906094944,3.6598915103588,2.48515226822796,0.776268170048352,0.323115557376465,1.13539103330998
"66",10700,2012,69,76,147,37,129,4100,2401,1373,0.585609756,0.334878049,46.974847042828,51.7335146159075,100,3.58527840784371,5.0251256281407,3.16521594269293,1.04862316157504,0.443620057040424,1.44612220164062
"67",10700,2013,68,69,137,37,129,4314,2388,1631,0.553546592,0.378071395,49.671772428884,50.401167031364,100,3.17563338819221,4.16896572864938,2.88932624261966,0.928841824221686,0.368071119574401,1.32006048534444
"68",10700,2014,66,79,145,37,129,4263,2206,1806,0.517475956,0.42364532,45.5547898001378,54.5141281874569,100,3.40128075813375,3.65428270859864,3.58098000997235,0.994833688084005,0.322645609219201,1.63580715472534
"69",10700,2015,84,89,173,37,129,4435,2314,1761,0.521758737,0.397068771,48.5846331600231,51.473136915078,100,3.90070122432414,4.76974618136392,3.84598764098354,1.14093748453703,0.421127958142755,1.75702987246501
"70",10700,2016,84,88,174,37,129,4409,2350,1667,0.53300068,0.37809027,48.3055715106261,50.6031016657094,100,3.94638361570388,5.03868994061544,3.74452150972299,1.15429504193122,0.444862249316996,1.71072592807749
"71",10700,2017,95,131,226,37,129,4511,2485,1674,0.550875637,0.371092884,42.0610349402919,57.9831932773109,100,5.00986455631664,5.67469087868108,5.27141764918917,1.46537847318123,0.501015290799329,2.40855406087915
"72",10700,2018,102,148,251,37,129,4593,2377,1910,0.517526671,0.415850207,40.6610911987256,58.9804858622063,100,5.46471881735647,5.34003455316476,6.22607378738799,1.59844058816915,0.471495915252978,2.84451187742356
